image1,image2,similar,elapsed
./imgs/airplane.jpg,./imgs/peppers.jpg,0.7596001394668204, 0.132954
./imgs/airplane.jpg,./imgs/peppers.png,0.7692903738107035, 0.138812
./imgs/airplane.png,./imgs/airplane.bmp,0.0, 0.134838
./imgs/airplane.png,./imgs/airplane.gif,0.0240961826084648, 0.141520
./imgs/airplane.png,./imgs/airplane.jpg,0.028650770055743124, 0.134717
./imgs/airplane.png,./imgs/arctichare.bmp,1.0, 0.000004
./imgs/airplane.png,./imgs/arctichare.gif,1.0, 0.000004
./imgs/airplane.png,./imgs/arctichare.jpg,1.0, 0.000004
./imgs/airplane.png,./imgs/arctichare.png,1.0, 0.000005
./imgs/airplane.png,./imgs/baboon.bmp,0.8854676314809576, 0.135204
./imgs/airplane.png,./imgs/baboon.gif,0.8880887808227212, 0.134768
./imgs/airplane.png,./imgs/baboon.jpg,0.8837720026187365, 0.134714
./imgs/airplane.png,./imgs/baboon.png,0.8854676314809576, 0.131091
./imgs/airplane.png,./imgs/boat.bmp,1.0, 0.000008
./imgs/airplane.png,./imgs/boat.gif,0.7428486772943621, 0.132739
./imgs/airplane.png,./imgs/boat.jpg,1.0, 0.000005
./imgs/airplane.png,./imgs/boat.png,1.0, 0.000004
./imgs/airplane.png,./imgs/cat.bmp,1.0, 0.000005
./imgs/airplane.png,./imgs/cat.gif,1.0, 0.000004
./imgs/airplane.png,./imgs/cat.jpg,1.0, 0.000005
./imgs/airplane.png,./imgs/cat.png,1.0, 0.000006
./imgs/airplane.png,./imgs/fruits.bmp,0.6783023834449715, 0.133415
./imgs/airplane.png,./imgs/fruits.gif,0.685841631412335, 0.146621
./imgs/airplane.png,./imgs/fruits.jpg,0.6788697994231097, 0.143206
./imgs/airplane.png,./imgs/fruits.png,0.6783023834449715, 0.142505
./imgs/airplane.png,./imgs/frymire.bmp,1.0, 0.000006
./imgs/airplane.png,./imgs/frymire.gif,1.0, 0.000006
./imgs/airplane.png,./imgs/frymire.jpg,1.0, 0.000006
./imgs/airplane.png,./imgs/frymire.png,1.0, 0.000007
./imgs/airplane.png,./imgs/girl.bmp,1.0, 0.000005
./imgs/airplane.png,./imgs/girl.gif,1.0, 0.000005
./imgs/airplane.png,./imgs/girl.jpg,1.0, 0.000005
./imgs/airplane.png,./imgs/girl.png,1.0, 0.000005
./imgs/airplane.png,./imgs/goldhill.bmp,1.0, 0.000008
./imgs/airplane.png,./imgs/goldhill.gif,0.7748072120816943, 0.135598
./imgs/airplane.png,./imgs/goldhill.jpg,1.0, 0.000005
./imgs/airplane.png,./imgs/goldhill.png,1.0, 0.000009
